Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,1.0,PUTHUPARAMBHA,ABIDA MACHINGAL,Member,IUML,Woman
,,2.0,KARATTANGADI,MOHAMMED NASEER E.K,Member,INC,General
,,3.0,OTTATHENG,RAMLA POOKAYIL,Member,IUML,Woman
,,4.0,NARATHADAM,NAFEESATH BEEVI,Vice President,IUML,Woman
,,5.0,POTTIPARA,ABDUL JALEEL,Member,IUML,General
,,6.0,AREEKKAL CITY,EBRAHIM KAKKATTIRI,Member,INDEPENDENT,General
,,7.0,VAILIKULAMBHA,SHAILA AZEEZ,Member,INDEPENDENT,Woman
,,8.0,AMBALA VATTAM,PADMANABHAN NAIR P.V,Member,INDEPENDENT,General
,,9.0,KUNNUMMAL,THUPRAN MANNANTHODI,Member,INC,SC
,,10.0,SWAGATHAMAD,MOHAMED HANEEFA T,President,IUML,General
,,11.0,CHERUSHOLA,RAIHANA BEEGAM,Member,IUML,Woman
,,12.0,KLARI SOUTH,ABDU NAZER P,Member,IUML,General
,,13.0,EDARIKODE SOUTH,ABIDHA T K,Member,IUML,Woman
,,14.0,EDARIKODE NORTH,SAJNA PULIKKAL,Member,IUML,Woman
,,15.0,CHUDALAPPARA,USHA E.P,Member,CPI(M),Woman
,,16.0,ARAYAKKULAM,ABDUL KAREEM P,Member,IUML,General
,,1.0,CHOWALLOOR- KARIYANOOR,SULFATH BACKER,Member,CPI(M),Woman
,,2.0,CHOWALLOR,LALITHA VENU,President,INC,Woman
,,3.0,Kandanassery,DASAN V.K,Member,CPI(M),General
,,4.0,ARIKANNIYOOR,USHA TEACHER,Member,CPI(M),Woman
,,5.0,KALANAGAR,MOIDEEN A.M,Member,INC,General
,,6.0,Koonammoochi,JAISON CHACKO,Vice President,INC,General
,,7.0,Vettukadu,SHELJA BALARAM,Member,INC,Woman
,,8.0,ALOOR,VASU K.S,Member,INC,General
,,9.0,THIRUVATHRA-KANDIYOOR,GRACY JOSEPH,Member,INC,Woman
,,10.0,Mattom,NIVAS P.V,Member,INC,General
,,11.0,Mattom-West,SAJAN P.G,Member,INC,General
,,12.0,Vallyadamkara,JAYAN PANDIYATH,Member,INC,General
,,13.0,Vaduthala,BALAKRISHNAN V.A,Member,INC,SC
,,14.0,NAMBAZHIKKAD,RUBY FRANCIS,Member,INC,Woman
,,15.0,Sankaramkulam,GEETHA MOHANAN,Member,CPI(M),Woman
,,16.0,Ayiramkulam,SUSHA RAJEEV,Member,CPI(M),Woman
,,1.0,NALLOORPADAVU,USHA SASI,Member,KC(M),SC Woman
,,2.0,VALLIYAKULAM,THOMAS MATHEW (ABEY),Vice President,KC(M),General
,,3.0,ANICADU,RAJAN (PATTAPURAYIDAM),Member,CPI(M),General
,,4.0,NOOROMMAVU,SHANTHAMMA VARGHESE,Member,INC,Woman
,,5.0,PUNNAVELY,ALEYAMMA MATHAI,Member,INC,Woman
,,6.0,KURUNNAMVELY,RAJEENA JIYASH,Member,INDEPENDENT,Woman
,,7.0,VAIPUR,SOPHIYAMMA,President,INC,Woman
,,8.0,VADAKKEMURI,SASIDHARAN PILLA,Member,BJP,General
,,9.0,PULICKAMALA,VARGHESE GEORGE,Member,INDEPENDENT,General
,,10.0,PULLUKUTHI,GIRIJA KUMARI,Member,INDEPENDENT,Woman
,,11.0,POOVANPARA,SUNIL KUMAR,Member,INDEPENDENT,General
,,12.0,PATHIKKADU,SHYLAMMA ISAK,Member,INDEPENDENT,Woman
,,13.0,MARIKKAL,P.K. THANKAPPAN,Member,INC,SC
,,1.0,MANJALAMPARA,SAFIYA ANEEFA,Member,INDEPENDENT,Woman
,,2.0,PULINTHANAM,ALIYAR MUHAMMED,Member,CPI(M),General
,,3.0,MAVUDY,SALY IYPE,Member,INC,Woman
,,4.0,POTTANCHIRA,DHANYA BIJI,Member,KC(M),Woman
,,5.0,THRIKKEPPADY,SIJI ELDHOSE,Member,INC,Woman
,,6.0,PERUNEER,SHEENA THOMAS,Vice President,CPI(M),Woman
,,7.0,ERAPPUPARA,AUGUSTIN ANTONY,Member,KC(M),General
,,8.0,ANATHUZHY,TOMY ALIYAS,Member,INDEPENDENT,General
,,9.0,POTHANICAD CENTRAL,SOBHANA ASHOKAN,Member,INDEPENDENT,Woman
,,10.0,KONNANPARA,VINCEN MATHEW,Member,CPI,General
,,11.0,THAYMATTOM,ABRAHAM THOMMAN,President,CPI(M),General
,,12.0,KALLADA POOTHAPPARA,LUCY JOSE,Member,INDEPENDENT,Woman
,,13.0,PARAMBANCHERY,T A KRISHNAN KUTTY,Member,INC,SC
,,1.0,SAYA,AITHAPPA KULAL,Member,INC,General
,,2.0,CHAVARKAD,ANITHADEVI K,Member,INC,Woman
,,3.0,BALEMOOLE,SUSHEELA V K,Member,CPI(M),Woman
,,4.0,KATUKUKKE,BALAKRISHNA SADANANDA GAMBHIRA D,Member,INC,General
,,5.0,SHIVAGIRI,DAINABI,Member,INC,Woman
,,6.0,SWARGA,RAVI K,Member,CPI,SC
,,7.0,VANINAGAR,S B NARASIMHA POOJARY,Member,CPI,General
,,8.0,KAJAMPADY,RAMANANDA YEDAMALE,Member,BJP,General
,,9.0,PERLA EAST,AYISHA A A,Vice President,IUML,Woman
,,10.0,PERLA WEST,RAMLA P M,Member,IUML,Woman
,,11.0,BEDRAMPALLA,CHANIYAPPA POOJARY,Member,CPI(M),General
,,12.0,BANPUTHADKA,SHARADA Y,Member,INC,General
,,13.0,GUNAJE,AISATHUL BUSHRA,Member,IUML,Woman
,,14.0,SHENI,SOMASHEKHARA J S,President,INC,General
,,15.0,ENMAKAJE,RAJESHWARI,Member,BJP,Woman
,,16.0,BAJAKUDLU,SOUDABI HANEEFA,Member,CPI(M),Woman
,,17.0,ADKASTHALA,PUSHPA M,Member,CPI(M),Woman
,,1.0,VELIYEMBRA,IBRAHIM.V.M,Member,IUML,General
,,2.0,VATTAKKAYAM,N.REENA,Vice President,CPI(M),Woman
,,3.0,EDAKKANAM,USHA.A,Member,CPI(M),Woman
,,4.0,VALLYADU,P.V.PREMAVALLI,Member,CPI(M),Woman
,,5.0,KEEZHUR,K.VIJAYAN,Member,CPI(M),General
,,6.0,IRITTY,P.P.ABIDA TEACHER,Member,INL,Woman
,,7.0,PAYANCHERI,SARASWATHI.M,Member,INC,Woman
,,8.0,KOOLICHEMBRA,ABDUL RASHEED.K,President,CPI(M),General
,,9.0,MEETHALE PUNNADU,C.K.ANITHA,Member,BJP,Woman
,,10.0,PARENGADU,N.RAJAN,Member,CPI(M),General
,,11.0,KEEZHURKUNNU,SHAREEFA.P.K,Member,IUML,Woman
,,12.0,PUNNADU,SIVASANKARAN.K,Member,BJP,General
,,13.0,ULIYIL,M.P.ABDUL RAHIMAN,Member,IUML,General
,,14.0,NAREMPARA,E.K.MARIYAM TEACHER,Member,IUML,Woman
,,15.0,NADUVANADU,JALANA.P.V,Member,CPI(M),Woman
,,16.0,VALORA,V.VINODKUMAR,Member,CPI(M),General
,,17.0,KATTEMKANDAM,P.SANTHOSH,Member,CPI(M),General
,,18.0,CHAVASSERY,V.V.MANJULA,Member,BJP,Woman
