Login,Malayalam,Ward No.,Ward Name,Elected Members,Role,Party,Reservation
,,19.0,19TH MILE,BALKEES.P.K,Member,IUML,Woman
,,20.0,MANNORA,DAMODARAN.E,Member,CPI(M),General
,,21.0,ATTYALAM,RATHEESH.E.K,Member,CPI(M),ST
,,1.0,PEROOR,SOORYKUMARI AMMA J K,Member,CPI(M),Woman
,,2.0,KEEZHPEROOR,B RETNAKARAN PILLAI,Member,INC,General
,,3.0,MATHAYIL,YAMUNANA G,Member,CPI(M),Woman
,,4.0,KESAVAPURAM,M REGHU,Vice President,CPI(M),General
,,5.0,CHEMMARATHUMUKKU,REMANI J,Member,CPI(M),Woman
,,6.0,NAGAROOR,S SHAJAHAN,Member,CPI(M),General
,,7.0,DERSANAVATTAM,SUSHAMA S,President,CPI(M),SC Woman
,,8.0,KOTTAKKAL,S NOVELRAJ,Member,CPI(M),General
,,9.0,PAVOORKKONAM,N UNNIKRISHNAN,Member,CPI(M),General
,,10.0,THANNIKKONAM,RAJEEV G,Member,CPI(M),SC
,,11.0,NEDUMPARAMBU,LETHAKUMARAI P,Member,CPI,Woman
,,12.0,THEKKINKKADU,K BAHULEYAKURUP,Member,CPI(M),General
,,13.0,NANDAIVANAM,SHEEBA G,Member,CPI(M),SC Woman
,,14.0,MADAPPADAM,K BABY,Member,CPI(M),Woman
,,15.0,ENJAMOOLA,VIJAYAKUMARI P,Member,CPI(M),General
,,16.0,VELLALLOOR,NALINI SASIDHARAN,Member,INC,Woman
,,17.0,KARIMBALODU,IBRAHIMKUTTY A,Member,INC,General
,,1.0,KURIANADU,LISSY KURIAN,Member,KC(M),Woman
,,2.0,POOVATHUNKAL,JOSEPH MANI,Member,KC(M),General
,,3.0,KURICHITHANAM,CYRIAC MATHEW,Member,KC(M),General
,,4.0,NELLITHANATHUMALA,BELGY EMMANUEL,Member,KC(M),General
,,5.0,IRUMUGHAM,PRASEEDA SAJEEV,Member,INC,Woman
,,6.0,PALAKKATTUMALA,NIRMALA DIVAKARAN,Member,KC(M),Woman
,,7.0,ANDOOR,SUDHA MANI,Member,INDEPENDENT,Woman
,,8.0,MARANGATTUPILLY,SUJA KURIAKOSE,Member,INDEPENDENT,Woman
,,9.0,PAIKKADU,MOLLY JOSEPH,Member,KC(M),Woman
,,10.0,MANNACKANADU,ANIL K KRISHNAN,Member,INC,SC
,,11.0,VALIYAPARA,JOSEPH JOSEPH,Member,KC(M),General
,,12.0,CHERUVALLY,LISSY JOY,Member,KC(M),Woman
,,13.0,VALAKUZHY,TULASIDAS,Member,CPI(M),General
,,14.0,PAVACKKAL,SABU AUGUSTINE,Member,INC,General
,,1.0,EYYAKKODU,ABDULSALAM.A,Member,INC,General
,,2.0,MUKKUNNAM,P.RAJITHA KUMARI,Member,CPI,Woman
,,3.0,ANAPPARA,P.T.LEELAMMA,Member,CPI(M),Woman
,,4.0,PANGALUKADU,M.SHAJAHAN,Member,CPI(M),General
,,5.0,DHARPAKADU,N.AMMINI,Vice President,CPI(M),Woman
,,6.0,KONDODI,M.NAZEER,President,CPI(M),General
,,7.0,MANGADU,K.VENU,Member,CPI(M),SC
,,8.0,KUMMIL NORTH,B.H.NIFAL,Member,INC,General
,,9.0,KUMMIL TOWN,M. ANITHA,Member,CPI,SC Woman
,,10.0,THACHONAM,R.BEENA,Member,CPI(M),Woman
,,11.0,MULLAKKARA,K.KRISHNAPILLAI,Member,CPI,General
,,12.0,VATTATHAMARA,D.PUSHPAKUMARI,Member,CPI(M),Woman
,,13.0,SAMBHRAMAM,THAHAKUTTI.A,Member,INDEPENDENT,General
,,14.0,PUTHUKODU,E.NAZEERABEEVI,Member,CPI(M),Woman
,,1.0,KADASSERI,RUBY GOPAL,Member,INC,Woman
,,2.0,PUNNALA,BYJU D,Member,CPI(M),General
,,3.0,CHEMPANARUVI,DEEPA M,Member,CPI,Woman
,,4.0,MICCAMINE,JAYA MADHU,Member,INC,Woman
,,5.0,PERUMTHOYIL,SARALA P S,Member,INC,Woman
,,6.0,VAZHANGODU,AJITH D,Member,CPI,General
,,7.0,KARAVOOR,PONNAMMA B,Member,INC,Woman
,,8.0,VANMALA,K JOSE,President,INC,General
,,9.0,ALIMUKKU,C ANITHAKUMARI,Member,INC,SC Woman
,,10.0,MUKKADAVU,JESSY THOMAS,Member,KC(M),Woman
,,11.0,CHEEVODU,T SURENDRAN,Member,INC,SC
,,12.0,PIRAVANTHOOR,N SATHYANANDAN,Member,INDEPENDENT,SC
,,13.0,PAVUMBA,GANESH PREMOD S S,Member,KC(B),General
,,14.0,ELIKKATTOOR,SHERLY GOPINATH,Vice President,INC,Woman
,,15.0,KAMUKUMCHERI,PURUSHOTHAMANPILLA,Member,CPI(M),General
,,16.0,CHEKOM,OMANA KUTTAPPAN,Member,CPI,SC Woman
,,17.0,KIZHAKKEMURI,G RAMAKRISHNAN,Member,CPI(M),General
,,18.0,KADAKKAMON,R.SREENIVASAN,Member,INC,General
,,19.0,KARIMPALOOR,MATHEW P GEORJE,Member,KC(M),General
,,20.0,KANIYAMPADIKKAL,RESHIJAMMAL,Member,IUML,Woman
,,21.0,CHACHIPUNNA,LATHA,Member,CPI(M),Woman
,,1.0,NANDHI,N. K. OMANA NANDIKARA (MUPPLY),President,CPI(M),Woman
,,2.0,KUMARANCHIRA,BINDHU PRADEEP,Member,CPI,Woman
,,3.0,ELAMPUZHA,VIJAYAGHOSH P.K,Vice President,CPI,General
,,4.0,CHEMMANDA,N. K. LAKSHMANAN NEDUMPULLY,Member,CPI(M),SC
,,5.0,PULLATHARA,DEEPA SAJU,Member,INDEPENDENT,Woman
,,6.0,KIZHUTHANI EAST,SURENDRALAL. P. V PULLAMVALAPPIL,Member,CPI(M),General
,,7.0,KIZHUTHANI WEST,SUJA SANJEEVKUMAR,Member,INC,Woman
,,8.0,KIZHUTHANI SOUTH,SINDHU AJAYAN,Member,CPI(M),Woman
,,9.0,PATHANAPPURAM,ULLAS PILLAVEETTIL,Member,INC,General
,,10.0,HARIPURAM,INDIRA NAKULAN,Member,INC,Woman
,,11.0,THANISSERY,PRAMEELA ASHOKAN,Member,INC,Woman
,,12.0,POWER HOUSE,ANIL KUMAR. K. V KUNIYATH,Member,CPI(M),General
,,13.0,VELLANI WEST,V. S. SUNEESH VADAKKOOT,Member,CPI(M),General
,,14.0,VELLANI EAST,ALLI DEVADAS,Member,CPI,SC Woman
,,15.0,KARALAM,BAIJU K.S,Member,CPI,General
,,1.0,CHOORIYODE,ABBAS MELETHIL,Member,INDEPENDENT,General
,,2.0,KOOTTAMPADAM,VILASINI K,Member,CPI,SC Woman
,,3.0,VALAJHAPALAM,SANTHA V S,Vice President,CPI,Woman
,,4.0,KOZHIYODE,RAMAN KUTTY K,Member,CPI(M),General
,,5.0,MUNDAMBALAM,P C JOSEPH,Member,CPI(M),General
,,6.0,PICHALAMUNDA,LISA SUNNY,Member,INC,Woman
,,7.0,PALAKKAYAM,THANUJA RADHAKRISHNAN,Member,CPI(M),Woman
,,8.0,CHEENIKKAPARA,ANIYAMMA ABRAHAM,Member,CPI(M),Woman
,,9.0,IRUMBAMUTTY,UNNIKRISHNAN A M,Member,KC(M),SC
,,10.0,VAKKODAN,BETTY LAWRENCE,Member,INC,Woman
,,11.0,CHENTHANDU,ABOOBACKER P,Member,CPI(M),General
,,12.0,PONNAMKODE,LEELA SUNIL,Member,CPI(M),Woman
,,13.0,THACHAMPARA,AMMINI KUTTY M A,Member,CPI(M),Woman
,,14.0,NEDUMANNU,PRAVEEN KUMAR P,President,CPI(M),General
,,15.0,MATTOM,GOPI P,Member,INC,General
,,1.0,THEVARKAD,SIBIMOL ANEESH,Member,INC,Woman
,,2.0,CHIRAIKAKAM NORTH,VIJU JOSEPH,Member,INC,General
,,3.0,CHIRAIKAKAM SOUTH,STELLA SOMAN,Member,CPI,Woman
,,4.0,PUTHANPALLY NORTH,PRASEENA PAPPACHAN,Member,INC,Woman
,,5.0,MUTTINAKAM NORTH,SURESH M.K,Member,INC,SC
,,6.0,MUTTINAKAM SOUTH,K.S MUHAMMED,Vice President,INC,General
,,7.0,PUTHANPALLY SOUTH,MERCY JOHNY,President,INC,Woman
,,8.0,MANNAMTHURATH,SHEELA JOY,Member,INC,Woman
,,9.0,VARAPUZHA NORTH,SHEELA PETTAA,Member,INC,General
,,10.0,VARAPUZHA SOUTH,JOSEPH (JOHNSON),Member,INC,General
,,11.0,THUNDATHUMKADAVU SOUTH,LEENA SHIBU,Member,INC,Woman
,,12.0,THUNDATHUMKADAVU NORTH,MINI JOSE,Member,INC,Woman
,,13.0,THUNDATHUMKADAVU HEADQUARTERS,T.P POLY,Member,INC,General
,,14.0,CHETTIBHAKAM TOWN,C.V JIJIMON,Member,CPI(M),General
,,15.0,CHIRAIKAKAM PADY,K.K LOKESAN,Member,CPI(M),General
,,16.0,DEVASWAMPADAM,PRIYA BHARATHAN,Member,CPI(M),Woman
,,1.0,NELLIYAMBAM,RAVEENDRAN. N,Member,IUML,ST
,,2.0,NADAVAYAL,ROSILY THOMAS,President,INC,Woman
,,3.0,KOLLIVAYAL,C. SURESH BABU,Member,INC,General
,,4.0,CHITHRAMOOLA,K. M. FAIZAL ( MUHAMMED IQBAL),Member,IUML,General
,,5.0,KOZHINJANGAD,KADAVAN HAMSA,Vice President,IUML,General
,,6.0,VARADOOR,AJITHA GANGADHARAN,Member,CPI(M),Woman
,,7.0,PADARIKKUNNU,K. K. MUHAMMAD ( BAPPUTTI ),Member,CPI(M),General
,,8.0,ARIMULA,ABITHA FAISAL,Member,INDEPENDENT,Woman
,,9.0,KARANI,M. P. NAJEEB,Member,INC,General
,,10.0,PARALIKKUNNU,GIRIJA RAJAN,Member,SJ(D),Woman
,,11.0,ARIVARAM,KAMALA RAMAN,Member,INDEPENDENT,ST Woman
,,12.0,KAMBALAKKAD EAST,T. MANI,Member,IUML,ST
,,13.0,KAMBALAKKAD WEST,SINDHU RAVEENDRAN,Member,IUML,ST Woman
,,14.0,CHUNDAKKARA,CICILY MICHAEL,Member,INC,Woman
,,15.0,KANIYAMBETTA,YOOSUF. V. P,Member,IUML,General
,,16.0,PACHILAKKAD,RASHEENA SUBAIR,Member,IUML,Woman
,,17.0,EDAKKOMBAM,KUNHAYISHA. K,Member,IUML,Woman
,,18.0,CHEEKKALLOOR,P. N. ANILKUMAR,Member,INC,General
,,1.0,VAZHAKKODE,K SHOBHANA,Member,BJP,ST
,,2.0,ACHIKANAM,MADATHNATTU M RAJAN,Vice President,CPI(M),General
,,3.0,VELLACHERI,P V LAKSHMI,Member,CPI(M),Woman
,,4.0,ALAMPADY,V KRISHNAN,Member,CPI,General
,,5.0,KANHIRAPOYIL,KAMALAM B,Member,CPI(M),Woman
,,6.0,MALAPPACHERI,A V BALAKRISHNAN,Member,CPI(M),General
,,7.0,CHERANATHALA,SATHYA P,Member,CPI(M),Woman
,,8.0,KOLIKUNNU,SUSHAMA K V,Member,CPI(M),Woman
,,9.0,ERIKULAM,K SANTHA,Member,CPI(M),Woman
,,10.0,BANGALAM,M GOPALAKRISHNAN,Member,CPI(M),General
,,11.0,KAKKAT,P NARAYANAN,Member,CPI(M),General
,,12.0,ADKATHUPARAMBU,SEEMA V V,Member,CPI(M),Woman
,,13.0,CHALAKADAVU,S PREETHA,President,CPI(M),Woman
,,14.0,KEKKAMKOTTU,NALINI V V,Member,CPI(M),Woman
,,15.0,AMBALATHUKARA,K GANGADHARAN,Member,CPI(M),General
,,1.0,ANDIKADANKUZHI,K.C SUBAIDA,Member,IUML,Woman
,,2.0,AZHINHILAM,SARADA MEEMPARAYIL,Vice President,CPI(M),SC Woman
,,3.0,KARAD,KAMALAM.M.K,Member,CPI(M),Woman
,,4.0,PONNEMPADAM,M.P.LATHIKA,Member,CPI,Woman
,,5.0,THIRUTHIYAD,SABEERA.K.V,Member,IUML,Woman
,,6.0,PUNCHAPADAM,SIVADASAN,Member,CPI(M),General
,,7.0,MUNDAKASHERI,PULPARAMBIL GIRIJA,Member,INC,Woman
,,8.0,VAZHAYUR,JAMEELA,Member,INC,Woman
,,9.0,ALUNGAL,BHAGYANATH.N,Member,CPI(M),General
,,10.0,KAKKOVE,HIBATHULLA MASTER,Member,INDEPENDENT,General
,,11.0,KOTTUPADAM,K C AYISHA,Member,IUML,Woman
,,12.0,CHARALODI,MINI CHARALODI,Member,CPI(M),Woman
,,13.0,EAST KARAD,ADV RAMANAN MASTER,President,CPI(M),General
,,14.0,PUDHUKODE,NARAYANAN K,Member,SDPI,SC
,,15.0,AREEKUNNU,BIJILAL PT,Member,CPI(M),General
,,16.0,PARAMMAL,E PREMAN,Member,CPI(M),General
,,17.0,KALIPARAMB,FAROOK.E.K,Member,INC,General
,,1.0,PALAZHY,ASHA SUDHEERAN,Member,CPI(M),Woman
,,2.0,MANALUR VADAKKUMURI,SOBHA SURENDRAN,Member,CPI(M),Woman
,,3.0,MANALUR KIZHAKKUMURI,SURJITH V.N,Member,CPI(M),General
,,4.0,ANAKKADU VADAKKU,JAYNIVASAN E.S.,Member,CPI,SC
,,5.0,ANAKKADU,PADMINI SATHYAN,Member,CPI(M),Woman
,,6.0,AMBALAKKADU,JANARDHANAN M.V,Member,CPI(M),General
,,7.0,KANJANY,SIJI MOHANDAS,Vice President,CPI(M),Woman
,,8.0,THRIKKUNNU,ASOKAN V.G,Member,INC,General
,,9.0,PUTHENKULLAM,SIMON MASTER B.A,Member,INC,General
,,10.0,MANALUR NADUMURI,LINTO ANTONY,Member,INC,General
,,11.0,MANALUR PADINJATTUMURI,SEETHA GANESAN,Member,CPI,SC Woman
,,12.0,PUTHENKULAM WEST,SURESH P.B,Member,CPI(M),General
,,13.0,SOUTHKARAMUKKU,BEENA XAVIER,Member,INC,Woman
,,14.0,KANAJNY WEST,SUKANYA SHAJI,Member,INC,Woman
,,15.0,MANGATTUKARA,ANNIE PAUL,Member,INC,Woman
,,16.0,KARIKKODY,SABITHA PRASAD,Member,INC,Woman
,,17.0,KANDASSANKADAVU,OMANA VINCENT,Member,INC,Woman
,,18.0,KARAMUKKU NORTH,VINODAN K.V,President,CPI,General
,,19.0,MAMBILLY,LOHIDHAKSHAN C.N,Member,INC,General
,,1.0,KIZHAKKENCHERY,SHANMUGHAN V,Member,INC,General
,,2.0,VADAKKATHARA,SUSEELA RAJU,Member,CPI(M),Woman
,,3.0,KOZHUKULLY,REMADEVI SUNDHARAN,Member,INC,Woman
,,4.0,THACHAKKODE,SUJA ANILKUMAR,Member,CMP,Woman
,,5.0,CHERUKUNNAM,CHANDRIKA E K,Member,CMP,SC Woman
,,6.0,PARASSERY,PRASANNA JANESH,Member,CPI(M),Woman
,,7.0,ODAMTHODE,DAISY JOSE,Member,CPI(M),Woman
,,8.0,KAKKENCHERY,BALAN K,President,CPI(M),General
,,9.0,AMBITTANTHARISU,RAVEENDRAN P N,Member,CPI(M),General
,,10.0,PALAKUZHI,SUNNY M.C,Member,CPI(M),General
,,11.0,KOTTEKKULAM,VIJAYAN VELAYUDHAN,Member,INC,SC
,,12.0,THEKKINKALLA,RAVEENDRAN K,Member,CPI(M),General
,,13.0,PUTHENKULAMBU,OMANA RAJAN,Member,CPI(M),Woman
,,14.0,KALAVAPPADAM,RAJI KRISHNANKUTTY,Member,CPI,Woman
,,15.0,MOOLAMKODE,APPUKKUTTAN V,Member,CPI(M),General
,,16.0,KORENCHIRA,BEENA THANKAPPAN,Member,CPI(M),Woman
,,17.0,VALKULAMBU,SIJU JOSEPH,Member,INC,General
,,18.0,MANJALIKULAMBU,SINCHU V,Member,INC,SC Woman
,,19.0,KOTTEKKAD,NAVAS K.I,Member,CPI(M),General
,,20.0,KARAPPADAM,CHELLAMANI K A,Member,CPI(M),General
,,21.0,ELAMKAVU,SINDHU SUDHAVEN,Vice President,CPI(M),Woman
,,22.0,CHEERAKUZHI,BABU U,Member,CPI,General
,,1.0,PODIYATTUVILA,SREELEKSHMI. C,Member,CPI,Woman
,,2.0,KAITHAKKETTU,ADV. KETTIDATHIL SULAIMAN,Member,INC,General
,,3.0,THADIKKADU,SABEENA NAZAR,Member,INC,Woman
,,4.0,THEVARTHOTTAM,RAJEEV P,Member,CPI(M),General
,,5.0,MADHURAPPA,N.SUSEELA MANI,Member,CPI(M),Woman
,,6.0,ASURAMANGALAM,INDIRADEVI.L,Member,INC,Woman
,,7.0,PANACHAVILA,CHANDRA BABU,Vice President,CPI(M),General
,,8.0,PADINIJATTINKARA,ANITHAKUMARI APPU,Member,CPI(M),SC Woman
,,9.0,CHEMPAKARAMANALLOR,N.S.BIJU,Member,CPI,SC
,,10.0,KAIPPALLI,VALSALAKUMARY.K,Member,CPI(M),Woman
,,11.0,EDAMULACKAL,VIJAYALEKSHMI.R,Member,INC,Woman
,,12.0,PERUNGALLOR,WILSON NEDUVILA,Member,INDEPENDENT,General
,,13.0,AYOOR,G.S.AJAYAKUMAR,Member,CPI,General
,,14.0,NADUKKUNNU,GANGADHARAN PILLAI. N,Member,CPI(M),General
,,15.0,NEERAYIKKODU,KADAYIL BABU,Member,INC,General
,,16.0,KAMPAMKODU,BABU GEORGE,Member,KC(M),General
,,17.0,OZHUKUPARAKKAL,LISHA ABRAHAM,Member,CPI,Woman
,,18.0,VELLOR,R.SUKU,Member,INC,General
,,19.0,ARACKAL,SUSEELA SURENDRAN,Member,CPI,SC Woman
,,20.0,EDAYAM,C.S.JAYAPRASAD,Member,CPI,General
,,21.0,PERUMANNOOR,V.JAYA SREE,President,CPI,Woman
,,22.0,VALAKOM,USHA KUMARI.O,Member,KC(B),Woman
,,1.0,CHETHALAYAM,SUHAS V P,Member,CPI(M),General
,,2.0,CHENAD,THANGAMANI K B,Member,CPI(M),ST Woman
,,3.0,PAZHERI,JISHA SHAJI,Member,CPI(M),Woman
,,4.0,ODAPPALAM,VALSA JOSE,Member,INC,Woman
,,5.0,THIRUNELLI,GEORGE O M,President,INC,General
,,6.0,THELAMBATTA,V N RADHAKRISHNAN (BABU PAZHUPPATHOOR),Member,INC,General
,,7.0,KOTTAKKUNNU,RADHA RAVEENDRAN,Member,INC,Woman
,,8.0,KAIPANCHERY,SHIFANATH KABEER,Member,IUML,Woman
,,9.0,MYTHANIKKUNNU,SHABEER AHAMMED K.M,Member,IUML,General
,,10.0,KALLUVAYAL,BANU PULIKKAL,Vice President,IUML,Woman
,,11.0,SULTHAN BATHERY,AYYOOB P.P,Member,IUML,General
,,12.0,MANICHIRA,SUBAIDHA SAIDHALAVI,Member,IUML,Woman
,,13.0,POOMALA,SALEEM MADATHIL,Member,CPI(M),General
,,14.0,POOTHIKKAD,BINDU RAJU,Member,CPI(M),Woman
,,15.0,BEENACHI,T K RAMESH,Member,CPI(M),ST
,,16.0,PAZHUPATHOOR,OMANA M N,Member,INC,ST Woman
,,17.0,KAIVETTAMOOLA,ILLATH KOYA,Member,NCP,General
,,18.0,KATTAYAD,T L SABU,Member,KC(M),General
,,19.0,SATHRAMKUNNU,NISSI AHAMMED,Member,INC,General
,,20.0,KIDANGIL,K V SREERAMAN,Member,CPI(M),SC
,,21.0,KUPPADI,SHALY JOSEPH,Member,INC,Woman
,,22.0,ARMAD,LOLITHA K N,Member,CPI(M),Woman
,,23.0,VENGOOR,BINDHU SUDHEER BABU,Member,INC,Woman
,,1.0,CHEMPANTHOTTY,PHILOMINA KARIMATTOM,Member,INC,Woman
,,2.0,KARAYATHUMCHAL,RAJU PERIMCHELLY,Member,INC,ST
,,3.0,KAMBLARI,LEENA P,Member,CPI(M),Woman
,,4.0,CHEPARAMBU,PRASEETHA K,Member,CPI(M),Woman
,,5.0,PANNIYAL,N P RASHEED MASTER,Member,IUML,General
,,6.0,KAVUMBHAYI,A RAMAN MASTER,Member,CPI(M),General
,,7.0,AYICHERY,K BHASKARAN,Member,CPI(M),General
,,8.0,ELLERINJI,K NARAYANAN,Member,CPI(M),General
,,9.0,MADAMBAM,SREEJA P K,Member,CPI(M),Woman
,,10.0,CHERIKKODE,PANDARASSERIYIL JAMES,Member,INC,General
,,11.0,NEDUNGOME,MINI VARGHESE,Vice President,CPI(M),Woman
,,12.0,KANJILERY,V C RAMACHANDRAN MASTER,Member,CPI(M),General
,,13.0,BALANKARI,BIJUMON K V,President,CPI(M),General
,,14.0,VAYAKKARA,SUNITHA JOJO,Member,INC,Woman
,,15.0,KOTTOOR,SHYMOL K P,Member,CPI(M),Woman
,,16.0,AVANAKKOL,P KUNHIKANNAN,Member,CPI(M),General
,,17.0,SREEKANDAPURAM,VAYALPATH PUTHYAPURAYIL NASEEMA,Member,IUML,Woman
,,18.0,PERUVANJI,KOUSALIYA OTHYOTH,Member,CPI(M),Woman
